companies,commentsCount,hitsCount,likes
сберавтопарк,28.5,2867.5,4.25
сберзвук,36.90625,4809.09375,39.609375
сберздоровье,28.15,3526.225,70.6
сбермаркет,18.738255033557046,3830.3624161073826,20.13422818791946
сбермегамаркет,29.375,2531.0625,68.8125
сбис,10.5,2991.0135135135133,45.432432432432435
сибур,9.23076923076923,1948.9153846153847,8.746153846153845
ситидрайв,12.043478260869565,3114.0434782608695,63.52173913043478
ситимобил,30.355432780847146,6750.970534069982,37.348066298342545
скантур,0.3333333333333333,196.33333333333334,4.0
спортмастер,7.306930693069307,1503.3217821782177,96.53960396039604
столото,20.71698113207547,6631.924528301887,14.849056603773585
такси вконтакте,2.0,1329.0,13.0
телфин,19.387096774193548,3411.5806451612902,83.41935483870968
тинькофф,32.924981613140474,7827.118411375337,67.76808041186565
тнт,16.134099616858236,5543.685823754789,110.272030651341
точка,16.227313566936207,3940.44474393531,31.051212938005392
убрир,1.0,164.5,1.1666666666666667
уралсиб,12.681818181818182,2631.0636363636363,13.99090909090909
учи.ру,2.3333333333333335,937.0,3.3333333333333335
финам,25.528301886792452,11711.408805031446,37.119496855345915
финэктор групп,4.0,150.0,1.0
фоксфорд,10.082191780821917,3879.671232876712,16.904109589041095
хайс,15.625,2064.125,20.875
хоум кредит,6.9411764705882355,2410.725490196078,18.529411764705884
цдп,0.6666666666666666,276.77777777777777,0.6296296296296297
циан,21.01396648044693,4204.729050279329,98.09217877094972
цифра,7.951127819548872,2231.533834586466,27.206766917293233
юmoney,48.642857142857146,9376.857142857143,18.714285714285715
юздеск,3.25,601.0,12.125
яндекс,19.142831182991095,4642.921921376219,37.358531709976376
яндекс.дзен,13.513840830449826,3836.138408304498,13.124567474048442
яндекс.драйв,58.42948717948718,10743.705128205129,31.871794871794872
яндекс.лавка,28.789156626506024,4672.668674698795,24.746987951807228
яндекс.маркет,19.055286129970902,4180.56741028128,29.591658583899125
яндекс.маршрутизация,2.380952380952381,1219.8095238095239,5.9523809523809526
яндекс.услуги,20.602150537634408,3088.2258064516127,42.236559139784944
яндекс.шеф,39.61363636363637,15006.363636363636,32.22727272727273
