doc_id,companies
0000021533,яндекс
0000021549,microsoft
0000021589,тинькофф
0000021621,мтс
0000021635,контур
0000021639,moab
0000021707,тинькофф
0000021710,яндекс;вконтакте
0000021711,яндекс
0000021717,одноклассники
0000021723,авито;gett
0000021760,почта россии
0000021771,intel
0000021783,тинькофф
0000021800,райффайзенбанк
0000021806,яндекс
0000021814,одноклассники
0000021865,одноклассники
0000021873,тинькофф
0000021888,ростелеком
0000021889,вконтакте
0000021891,mail;mail.ru
0000021904,втб;мегафон;yota;мтс
0000021912,втб
0000021915,вконтакте
0000021921,рбк
0000021926,вконтакте;циан
0000021933,rambler&co
0000021938,мегафон
0000021939,spotify;mail
0000021940,контур
0000021943,яндекс;markswebb;мтс
0000021947,максимателеком;мтс
0000021950,пик
0000021955,ebay
0000021957,microsoft
0000021974,ростелеком
0000021977,microsoft
0000021983,mail;mail.ru;qiwi;yota;рбк
0000021989,комитет
0000021991,microsoft
0000021995,точка
0000021998,gett
0000022000,microsoft
0000022002,мегафон;мтс
0000022006,microsoft
0000022009,vk
0000022010,вконтакте
0000022012,gett
0000022013,вконтакте
0000022014,яндекс;яндекс.маркет;рбк
0000022016,рбк
0000022017,яндекс
0000022019,rambler&co
0000022020,рбк;втб;ростелеком
0000022023,контур
0000022026,мегафон;мтс
0000022028,mail;mail.ru
0000022031,яндекс
0000022032,яндекс;gett;вконтакте;финам
0000022036,мтс
0000022039,microsoft
0000022041,рбк
0000022042,рбк
0000022046,яндекс
0000022049,почта россии
0000022052,яндекс;gett
0000022054,mail;mail.ru;вконтакте;vk
0000022057,microsoft
0000022058,рбк;мтс
0000022060,qiwi;platforma
0000022061,microsoft
0000022064,gett
0000022068,яндекс;microsoft
0000022072,pixonic
0000022073,яндекс;microsoft;финам
0000022077,комитет
0000022079,яндекс;mail;mail.ru
0000022082,почта россии
0000022088,яндекс;яндекс.маркет
0000022090,яндекс;mail;mail.ru;microsoft
0000022091,microsoft
0000022094,tj
0000022098,ibs
0000022102,вконтакте
0000022103,ozon
0000022107,рбк
0000022109,яндекс
0000022111,контур
0000022115,yota;вконтакте
0000022120,вконтакте
0000022122,tj;точка;комитет
0000022124,ozon
0000022138,мтс
0000022139,didi;simple;microsoft
0000022143,яндекс;mail;mail.ru;microsoft
0000022144,mail;mail.ru;вконтакте;vk;мегафон
0000022148,microsoft
0000022150,рбк;мтс
0000022153,втб;рбк
0000022171,microsoft
0000022175,яндекс
0000022178,контур
0000022184,mail;mail.ru;ozon;lamoda;rambler&co;яндекс;pixonic
0000022185,mail;mail.ru;вконтакте;яндекс;одноклассники;gett
0000022187,gett
0000022189,мтс
